Projects,Raw Requirements,Requiremnet Name,Type,Requirement with Standard Syntax(previous),, type,Requirement with Standard Syntax,Domain,sub_domain,
PR-10,The system shall ask email address and password. ,Sign in & sign up,Ubiquitous,The system shall ask email address and password to commercial users and customers for login. ,,ubiquitous,The system shall ask email address and password to commercial users and customers for login. ,Event,,
PR-10,"The system shall ask them to enter event name, event category name and select location by city name.",Search Event,Ubiquitous,"The system shall ask the commercial users and customers to enter event name, event category name and select location by city name.",,ubiquitous,"The system shall ask the commercial users and customers to enter event name, event category name and select location by city name.",Event,,
PR-10,The system shall display all the events of that category and occurring in that particular location.,Search Event,Ubiquitous,The system shall display all the events of that category and occurring in that particular location.,,ubiquitous,The system shall display all the events of that category and occurring in that particular location.,Event,,
PR-10,The system shall allow commercial users and customers to view event details.,View Event Detail,Ubiquitous,The system shall allow commercial users and customers to view event details.,,ubiquitous,The system shall allow commercial users and customers to view event details.,Event,,
PR-10,"The system shall display the name, description, rating and reviews of event.",View Event Detail,Ubiquitous,"The system shall display the name, description, rating and reviews of event.",,ubiquitous,"The system shall display the name, description, rating and reviews of event.",Event,,
PR-10,".Furthermore,the system shall also display the event location/place, time and date.",View Event Detail,Ubiquitous,"The system shall display the event location/place, time and date.",,ubiquitous,"The system shall display the event location/place, time and date.",Event,,
PR-10,The system shall allow customers to book ticket of an event.  ,Book Ticket,Ubiquitous,The system shall allow customers to book ticket of an event.  ,,ubiquitous,The system shall allow customers to book ticket of an event.  ,Event,,
PR-10,"The system shall ask both to select location/place, time, date and number of ticket.",Book Ticket,Ubiquitous,"The system shall ask customers and commercial users to select location/place, time, date and number of ticket.",,ubiquitous,"The system shall ask customers and commercial users to select location/place, time, date and number of ticket.",Event,,
PR-10,The system shall allow customers for ?ooking Request? ,Check Ticket Availability,Ubiquitous,The system shall allow customers for ?ooking Request? ,,ubiquitous,The system shall allow customers for ?ooking Request? ,Event,,
PR-10,The system shall check either the ticket of that particular event is available or not.,Check Ticket Availability,Ubiquitous,The system shall check either the ticket of that particular event is available or not.,,ubiquitous,The system shall check either the ticket of that particular event is available or not.,Event,,
PR-10,The system shall allow customers to choose their desire seat.  ,Select Seat,Ubiquitous,The system shall allow customers to choose their desire seat.  ,,ubiquitous,The system shall allow customers to choose their desire seat.  ,Event,,
PR-10,"The system shall ask them to choose row, column.",Select Seat,Event-Driven,"When customer choose their desire seat, the system shall ask them to choose row and column of the seat.",,ubiquitous,"The system shall ask customer to choose row, column foe their desire seat.",Event,,
PR-10,The system shall also allow customers to view all booked & available seats.,Select Seat,Ubiquitous,The system shall allow customers to view all booked & available seats.,,ubiquitous,The system shall allow customers to view all booked & available seats.,Event,,
PR-10,The system shall allow customers to view their E-wallet.,E-wallet,Ubiquitous,The system shall allow customers to view their E-wallet.,,ubiquitous,The system shall allow customers to view their E-wallet.,Event,,
PR-10,The system shall display their remaining e-wallet points.,E-wallet,Ubiquitous,The system shall display their remaining e-wallet points.,,ubiquitous,The system shall display their remaining e-wallet points.,Event,,
PR-10,The system shall allow customers to add their reviews.,Manage Review,Ubiquitous,The system shall allow customers to add their reviews.,,ubiquitous,The system shall allow customers to add their reviews.,Event,,
,,,,,,ubiquitous,The system shall ask them to rate event,Event,,
,,,,,,ubiquitous,The system shall ask them to rate overall service,Event,,
PR-10,"The system shall ask them to rate event, rate overall service and add comment.",Manage Review,Ubiquitous,"The system shall ask them to rate event, rate overall service and add comment.",,ubiquitous,The system shall ask them to  add comment.,Event,,
PR-10,"Furthermore, the system shall ask them to click on ?dd Review?button to post review.",Manage Review,Ubiquitous,The system shall ask them to click on ?dd Review?button to post review.,,ubiquitous,The system shall ask them to click on ?dd Review?button to post review.,Event,,
PR-10,The system shall display details of recent booking.,View History,Ubiquitous,The system shall display details of recent booking.,,ubiquitous,The system shall display details of recent booking.,Event,,
PR-10,The system shall allow customers to avail more services such as pre order refreshments.,Offer other Services,Ubiquitous,The system shall allow the customers to avail more services such as pre order refreshments.,,ubiquitous,The system shall allow the customers to avail more services such as pre order refreshments.,Event,,
PR-10,The system shall allow commercial users and customers to view fancy deals and discount.,View deals and discount offers,Ubiquitous,The system shall allow commercial users and customers to view fancy deals and discount.,,ubiquitous,The system shall allow commercial users and customers to view fancy deals and discount.,Event,,
PR-10,The system shall allow commercial users and admin to add new event.,Manage Event,Ubiquitous,The system shall allow commercial users and admin to add new event.,,ubiquitous,The system shall allow commercial users and admin to add new event.,Event,,
PR-11,The system can login the admin,Login for admin,Ubiquitous,The system shall allow the admin to login.,,ubiquitous,The system shall allow the admin to login.,,,
PR-11,The admin should validate the authenticated worker,Updating worker profile,Ubiquitous,The system shall allow the admin to validate the authenticated worker.,,ubiquitous,The system shall allow the admin to validate the authenticated worker.,Online Service,,
PR-11,The employee/worker should be able to make account in application.,Account for Worker,Ubiquitous,The system shall allow the employee/worker to make account in application.,,ubiquitous,The system shall allow the employee/worker to make account in application.,Online Service,,
PR-11,The system should validate the authenticated Worker.,Validating the Worker,Ubiquitous,The system shall validate the authenticated worker.,,ubiquitous,The system shall validate the authenticated worker.,Online Service,,
PR-11,The system allows the user to view the ratings for each of the worker,View Ratings,Ubiquitous,The system shall allow the user to view the ratings for each of the worker.,,ubiquitous,The system shall allow the user to view the ratings for each of the worker.,Online Service,,
PR-11,The system allows the user give feedback to each of the worker,Giving Feedback,Ubiquitous,The system shall allow the user give feedback to each of the worker.,,ubiquitous,The system shall allow the user give feedback to each of the worker.,Online Service,,
PR-11,"The system allows the user to search for the included services (Plumbing services, Electrician services, Painting services, Handymen services)",Search for Services,Ubiquitous,"The system shall allow the user to search for the included services (Plumbing services, Electrician services, Painting services, Handymen services)",,ubiquitous,"The system shall allow the user to search for the included services (Plumbing services, Electrician services, Painting services, Handymen services)",Online Service,,
PR-12,Logging in of the user is mandatory so that the user can use the application,Login,Ubiquitous,The system shall allow the user to login to use the application.,,ubiquitous,The system shall allow the user to login to use the application.,Online Service,,
PR-12,Credentials of the user are required to login.,Login,Ubiquitous,,,ubiquitous,the system shall required credentials of the user to login.,Online Service,,
PR-12, Blockchain dashboard will display all the stats and information regarding our private blockchain network.,Blockchain Dashboard,Ubiquitous, The system shall display the blockchain dashboard  in which all the stats and information regarding our private blockchain network can be seen.,,ubiquitous, The system shall display the blockchain dashboard  in which all the stats and information regarding our private blockchain network can be seen.,Online Service,,
PR-12,Through blockchain dashboard we will be able to see busy and online users and all tasks,Blockchain Dashboard,State-Driven,"While using blockchain dashboard, the system shall allow to see busy and online users and all task.",,ubiquitous,the system shall allow us to see busy and online users and all tasks through blockchain dashboard ,Online Service,,
PR-12,Database will maintain the track of the tasks computed by the other users.,Database Storage,,,,ubiquitous,the system shall allow Database to maintain the track of the tasks computed by the other users.,Online Service,,
PR-12,Store transactions,Database Storage,,,,ubiquitous,the system shall allow to Store transactions,Online Service,,
PR-12,Store benchmark values of users,Database Storage,,,,ubiquitous,the system shall allow to Store benchmark values of users,Online Service,,
PR-12,The system will look  after the tasks that which task will be computed when and on which node.,Task Management,Ubiquitous,The system shall look  after the tasks that which task will be computed when and on which node.,,ubiquitous,The system shall look  after the tasks that which task will be computed when and on which node.,Online Service,,
PR-12,The system will maintain a record of each task in order to perform transaction.,Task Management,Ubiquitous,The system shall maintain a record of each task in order to perform transaction.,,ubiquitous,The system shall maintain a record of each task in order to perform transaction.,Online Service,,
PR-14,System will allow the candidate and admin to login the system,Login,Ubiquitous,The system shall allow the candidate and admin to login the system.,,ubiquitous,The system shall allow the candidate and admin to login the system.,Education,,
PR-14,System shall allow Candidate and admin to Sign up. ,Signup ,Ubiquitous,The systen shall allow candidate and admin to Sign up. ,,ubiquitous,The systen shall allow candidate and admin to Sign up. ,Education,,
PR-15,The website shall enable the user to Sign Up.,Registration,Ubiquitous,The system sahll allow the user to Sign Up.,,ubiquitous,The system sahll allow the user to Sign Up.,Online Service,,
PR-15,The website shall assign the user a specific ID.,User,Ubiquitous,The system shall assign the user a specific ID.,,ubiquitous,The system shall assign the user a specific ID.,Online Service,,
PR-15,"Each user will have their own
User Name
Email
",User,,,,ubiquitous,"the user shall have their own
User Name
Email
",Online Service,,
PR-15,The website will store the information of the user.,"User
",,,,ubiquitous,The website shall store the information of the user.,Online Service,,
PR-17,Tasker and Customer can sign in into his/her account,Homepage,Ubiquitous,The system shall allow the tasker and Customer can sign in into his/her account.,,ubiquitous,The system shall allow the tasker and Customer can sign in into his/her account.,Online Service,,
PR-17,"Tasker and Customer can access the list of all the tasks.
",Homepage,Ubiquitous,The system shall allow the tasker and customer to access the list of all the tables.,,ubiquitous,The system shall allow the tasker and customer to access the list of all the tables.,Online Service,,
PR-17,"Customer can see the advertisements.
",Homepage,Ubiquitous,The system shall allow the customers to see the advertisements.,,ubiquitous,The system shall allow the customers to see the advertisements.,Online Service,,
PR-17,Customer can search category of tasker. Search engine by (request id),Homepage,Ubiquitous,The system shall allow the customer to search category of tasker.,,ubiquitous,The system shall allow the customer to search category of tasker.,Online Service,,
PR-17,Tasker can register (become a tasker).,Homepage,Ubiquitous,The system shall allow the tasker to register.,,ubiquitous,The system shall allow the tasker to register.,Online Service,,
