index,Raw Requirements,Requirement with Standard Syntax, type,Domain,sub_domain,raw_length,standard_length,clean_raw_length,clean_standard_length,POS,Boilerplate Sentence
1285,system shall allow local user manage power consumption,system shall allow local user manage power consumption,0,Control System,Web development,61,61,54,54,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('local', 'JJ'), ('user', 'NN'), ('manage', 'NN'), ('power', 'NN'), ('consumption', 'NN')]",The system shall allow local system user manage power consumption
1286,"system shall alow local user view, delete add appliance.","system shall allow local user view, delete add appliance.",0,Control System,Web development,67,68,56,57,"[('system', 'NN'), ('shall', 'MD'), ('alow', 'VB'), ('local', 'JJ'), ('user', 'NN'), ('view', 'NN'), (',', ','), ('delete', 'JJ'), ('add', 'NN'), ('appliance', 'NN'), ('.', '.')]",The system shall alow local delete system user view add appliance
1287,system shall enable local user provide his/her email id would used his/her login,system shall enable local user provide his/her email id would used his/her login,0,Control System,Web development,100,100,80,80,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('local', 'JJ'), ('user', 'NN'), ('provide', 'VBP'), ('his/her', 'JJR'), ('email', 'NN'), ('id', 'NN'), ('would', 'MD'), ('used', 'VBN'), ('his/her', 'RB'), ('login', 'NN')]",The system shall enable provide used local system user email id login
1288,system shall enable local user provide his/her password would used his/her login,system shall enable local user provide his/her password would used his/her login,0,Control System,Web development,100,100,80,80,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('local', 'JJ'), ('user', 'NN'), ('provide', 'VBP'), ('his/her', 'JJR'), ('password', 'NN'), ('would', 'MD'), ('used', 'VBN'), ('his/her', 'RB'), ('login', 'NN')]",The system shall enable provide used local system user password login
1289,system shall enable admin manage local user.,system shall enable admin manage local user.,0,Control System,Web development,51,51,44,44,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('admin', 'JJ'), ('manage', 'NN'), ('local', 'JJ'), ('user', 'NN'), ('.', '.')]",The system shall enable admin local system manage user
1290,system shall enable admin view registered local user system,system shall enable admin view registered local user system,0,Control System,Web development,73,73,59,59,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('admin', 'JJ'), ('view', 'NN'), ('registered', 'VBD'), ('local', 'JJ'), ('user', 'NN'), ('system', 'NN')]",The system shall enable registered admin local system view user
1291,system shall enable admin register new local user system,system shall enable admin register new local user system,0,Control System,Web development,70,70,56,56,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('admin', 'JJ'), ('register', 'NN'), ('new', 'JJ'), ('local', 'JJ'), ('user', 'NN'), ('system', 'NN')]",The system shall enable admin new local system register user
1292,system shall enable admin edit registered local user,system shall enable admin edit registered local user,0,Control System,Web development,59,59,52,52,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('admin', 'JJ'), ('edit', 'NN'), ('registered', 'VBD'), ('local', 'JJ'), ('user', 'NN')]",The system shall enable registered admin local system edit user
1293,system shall enable admin delete registered local user system,system shall enable admin delete registered local user system,0,Control System,Web development,77,77,61,61,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('admin', 'JJ'), ('delete', 'NN'), ('registered', 'VBD'), ('local', 'JJ'), ('user', 'NN'), ('system', 'NN')]",The system shall enable registered admin local system delete user
1294,system shall enable local user access appliance,system shall enable local user access appliance,0,Control System,Web development,56,56,47,47,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('local', 'JJ'), ('user', 'NN'), ('access', 'NN'), ('appliance', 'NN')]",The system shall enable local system user access appliance
1295,system shall enable local user view registered appliance system,system shall enable local user view registered appliance system,0,Control System,Web development,78,78,63,63,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('local', 'JJ'), ('user', 'NN'), ('view', 'NN'), ('registered', 'VBD'), ('appliance', 'NN'), ('system', 'NN')]",The system shall enable registered local system user view appliance
1296,system shall enable local user control registered appliance,system shall enable local user control registered appliance,0,Control System,Web development,71,71,59,59,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('local', 'JJ'), ('user', 'NN'), ('control', 'NN'), ('registered', 'VBD'), ('appliance', 'NN')]",The system shall enable registered local system user control appliance
1297,system shall enable local user turn on/off registered appliance,system shall enable local user turn on/off registered appliance,0,Control System,Web development,75,75,63,63,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('local', 'JJ'), ('user', 'NN'), ('turn', 'VBP'), ('on/off', 'RP'), ('registered', 'VBD'), ('appliance', 'NN')]",The system shall enable turn registered local system user appliance
1298,system shall enable local user automate appliance,system shall enable local user automate appliance,0,Control System,Web development,61,61,49,49,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('local', 'JJ'), ('user', 'NN'), ('automate', 'NN'), ('appliance', 'NN')]",The system shall enable local system user automate appliance
1299,system shall enable admin register new appliance system,system shall enable admin register new appliance system,0,Control System,Web development,69,69,55,55,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('admin', 'JJ'), ('register', 'NN'), ('new', 'JJ'), ('appliance', 'NN'), ('system', 'NN')]",The system shall enable admin new system register appliance
1300,system shall enable admin edit registered appliance,system shall enable admin edit registered appliance,0,Control System,Web development,58,58,51,51,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('admin', 'JJ'), ('edit', 'NN'), ('registered', 'VBD'), ('appliance', 'NN')]",The system shall enable registered admin system edit appliance
1301,system shall enable admin delete registered appliance system,system shall enable admin delete registered appliance system,0,Control System,Web development,76,76,60,60,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('admin', 'JJ'), ('delete', 'NN'), ('registered', 'VBD'), ('appliance', 'NN'), ('system', 'NN')]",The system shall enable registered admin system delete appliance
1302,system shall return control back login screen,system shall return control back login screen,0,Control System,Web development,60,60,45,45,"[('system', 'NN'), ('shall', 'MD'), ('return', 'VB'), ('control', 'NN'), ('back', 'RB'), ('login', 'VBZ'), ('screen', 'NN')]",The system shall return login  system control screen
1303,system shall enable user logout system.,system shall enable user logout system.,0,security system,Web development,57,57,39,39,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('user', 'NN'), ('logout', 'NN'), ('system', 'NN'), ('.', '.')]",The system shall enable  system user logout
1304,system shall allow user view information member list website.,system shall allow user view information member list website.,0,security system,Web development,100,100,61,61,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'RB'), ('view', 'NN'), ('information', 'NN'), ('member', 'NN'), ('list', 'NN'), ('website', 'NN'), ('.', '.')]",The system shall allow  system view information member list website
1305,system allow user add new member member list raspberry pi application.,system shall allow user add new member member list raspberry pi application.,0,security system,Web development,101,103,70,76,"[('system', 'NN'), ('allow', 'VB'), ('user', 'RB'), ('add', 'VB'), ('new', 'JJ'), ('member', 'NN'), ('member', 'NN'), ('list', 'NN'), ('raspberry', 'NN'), ('pi', 'JJ'), ('application', 'NN'), ('.', '.')]",The system shall allow add new pi system member list raspberry application
1306,system shall ask password allowing addition new member.,system shall ask password allowing addition new member.,0,security system,Web development,77,77,55,55,"[('system', 'NN'), ('shall', 'MD'), ('ask', 'VB'), ('password', 'NN'), ('allowing', 'VBG'), ('addition', 'NN'), ('new', 'JJ'), ('member', 'NN'), ('.', '.')]",The system shall ask allowing new system password addition member
1307,"system shall allow user edit profile information i.e. name, email, phone reset password.","system shall allow user edit profile information i.e. name, email, phone reset password.",0,security system,Web development,106,106,88,88,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'NN'), ('edit', 'NN'), ('profile', 'NN'), ('information', 'NN'), ('i.e', 'NN'), ('.', '.'), ('name', 'NN'), (',', ','), ('email', 'NN'), (',', ','), ('phone', 'NN'), ('reset', 'NN'), ('password', 'NN'), ('.', '.')]",The system shall allow  system user edit profile information i.e name email phone reset password
1308,system shall ask reconfirmation saving change made user.,system shall ask reconfirmation saving change made user.,0,security system,Web development,83,83,56,56,"[('system', 'NN'), ('shall', 'MD'), ('ask', 'VB'), ('reconfirmation', 'NN'), ('saving', 'VBG'), ('change', 'NN'), ('made', 'VBD'), ('user', 'NN'), ('.', '.')]",The system shall ask saving made  system reconfirmation change user
1309,system shall allow user view security information user check security device status.,system shall allow user view security information user check security device status.,0,security system,Web development,109,109,84,84,"[('system', 'NN'), ('shall', 'MD'), ('allow', 'VB'), ('user', 'RB'), ('view', 'JJ'), ('security', 'NN'), ('information', 'NN'), ('user', 'NN'), ('check', 'NN'), ('security', 'NN'), ('device', 'NN'), ('status', 'NN'), ('.', '.')]",The system shall allow view system security information user check device status
1310,system shall save detected face image sending notification alert via email web application.,system shall save detected face image sending notification alert via email web application.,0,security system,Web development,109,109,91,91,"[('system', 'NN'), ('shall', 'MD'), ('save', 'VB'), ('detected', 'VBN'), ('face', 'NN'), ('image', 'NN'), ('sending', 'VBG'), ('notification', 'NN'), ('alert', 'NN'), ('via', 'IN'), ('email', 'NN'), ('web', 'NN'), ('application', 'NN'), ('.', '.')]",The system shall save detected sending  system face image notification alert email web application
1311,system shall highlight detected face screen.,system shall highlight detected face screen.,0,security system,Web development,60,60,44,44,"[('system', 'NN'), ('shall', 'MD'), ('highlight', 'RB'), ('detected', 'VB'), ('face', 'NN'), ('screen', 'NN'), ('.', '.')]",The system shall detected  system face screen
1312,system shall save numbr detected face image case training face save database.,system shall save numbr detected face image case training face save database.,0,security system,Web development,96,96,77,77,"[('system', 'NN'), ('shall', 'MD'), ('save', 'VB'), ('numbr', 'RB'), ('detected', 'JJ'), ('face', 'NN'), ('image', 'NN'), ('case', 'NN'), ('training', 'VBG'), ('face', 'NN'), ('save', 'JJ'), ('database', 'NN'), ('.', '.')]",The system shall save training detected save system face image case database
1313,system shall initialize face recognition module received true signal.,system shall initialize face recognition module received true signal.,0,security system,Web development,80,80,69,69,"[('system', 'NN'), ('shall', 'MD'), ('initialize', 'VB'), ('face', 'NN'), ('recognition', 'NN'), ('module', 'NN'), ('received', 'VBD'), ('true', 'JJ'), ('signal', 'NN'), ('.', '.')]",The system shall initialize received true system face recognition module signal
1314,"system shall save door access denied access history database include member name, image, message.","system shall save door access denied access history database include member name, image, message.",0,security system,Web development,130,130,97,97,"[('system', 'NN'), ('shall', 'MD'), ('save', 'VB'), ('door', 'NN'), ('access', 'NN'), ('denied', 'VBD'), ('access', 'NN'), ('history', 'NN'), ('database', 'NN'), ('include', 'VBP'), ('member', 'NN'), ('name', 'NN'), (',', ','), ('image', 'NN'), (',', ','), ('message', 'NN'), ('.', '.')]",The system shall save denied include  system door access history database member name image message
1315,system shall send temporary password member? email.,system shall send temporary password member? email.,0,security system,Web development,66,66,51,51,"[('system', 'NN'), ('shall', 'MD'), ('send', 'VB'), ('temporary', 'JJ'), ('password', 'NN'), ('member', 'NN'), ('?', '.'), ('email', 'NN'), ('.', '.')]",The system shall send temporary system password member email
1316,"system shall send request user website (in form prompt), allow train face program start new member.","system shall send request user website (in form prompt), allow train face program start new member.",0,security system,Web development,136,136,99,99,"[('system', 'NN'), ('shall', 'MD'), ('send', 'VB'), ('request', 'NN'), ('user', 'IN'), ('website', 'NN'), ('(', '('), ('in', 'IN'), ('form', 'NN'), ('prompt', 'NN'), (')', ')'), (',', ','), ('allow', 'JJ'), ('train', 'NN'), ('face', 'NN'), ('program', 'NN'), ('start', 'VBP'), ('new', 'JJ'), ('member', 'NN'), ('.', '.')]",The system shall send start allow new system request website form prompt train face program member
1317,system ask admin enter his/her email/phone number password.,system shall ask admin enter his/her email/phone number password.,0,Online Service,Web development,79,81,59,65,"[('system', 'NN'), ('ask', 'VB'), ('admin', 'JJ'), ('enter', 'NN'), ('his/her', 'PRP$'), ('email/phone', 'NN'), ('number', 'NN'), ('password', 'NN'), ('.', '.')]",The system shall ask admin system enter email/phone number password
1318,"system shall enable administrator add, delete, view update product pricing customers.","system shall enable administrator add, delete, view update product pricing customers.",0,Online Service,Web development,109,109,85,85,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('administrator', 'NN'), ('add', 'NN'), (',', ','), ('delete', 'JJ'), (',', ','), ('view', 'NN'), ('update', 'JJ'), ('product', 'NN'), ('pricing', 'NN'), ('customers', 'NNS'), ('.', '.')]",The system shall enable delete update system administrator add view product pricing
1319,system ask client enter his/her email/phone number password.,system shall ask client enter his/her email/phone number password.,0,Online Service,Web development,80,81,60,66,"[('system', 'NN'), ('ask', 'VB'), ('client', 'NN'), ('enter', 'NN'), ('his/her', 'PRP'), ('email/phone', 'VBP'), ('number', 'NN'), ('password', 'NN'), ('.', '.')]",The system shall ask email/phone  system client enter number password
1320,system validate email/phone number password database take admin admin page.,system shall validate email/phone number password database take admin admin page.,0,Online Service,Web development,101,106,75,81,"[('system', 'NN'), ('validate', 'VB'), ('email/phone', 'NN'), ('number', 'NN'), ('password', 'JJ'), ('database', 'NN'), ('take', 'VB'), ('admin', 'JJ'), ('admin', 'JJ'), ('page', 'NN'), ('.', '.')]",The system shall validate take password admin system email/phone number database page
1321,system ask staff/designer member enter his/her email/phone number password.,system shall ask staff/designer member enter his/her email/phone number password.,0,Online Service,Web development,95,96,75,81,"[('system', 'NN'), ('ask', 'JJ'), ('staff/designer', 'NN'), ('member', 'NN'), ('enter', 'NN'), ('his/her', 'PRP'), ('email/phone', 'VBP'), ('number', 'NN'), ('password', 'NN'), ('.', '.')]",The system shall email/phone ask system staff/designer member enter number password
1322,system shall enable staff/designer view requested custom project list upload developed projects.,system shall enable staff/designer view requested custom project list upload developed projects.,0,Online Service,Web development,116,116,96,96,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('staff/designer', 'NN'), ('view', 'NN'), ('requested', 'VBD'), ('custom', 'NN'), ('project', 'NN'), ('list', 'NN'), ('upload', 'NN'), ('developed', 'VBD'), ('projects', 'NNS'), ('.', '.')]",The system shall enable requested developed  system staff/designer view custom project list upload
1323,system enable customer place order.,system shall enable customer place order.,0,Online Service,Web development,55,56,35,41,"[('system', 'NN'), ('enable', 'JJ'), ('customer', 'NN'), ('place', 'NN'), ('order', 'NN'), ('.', '.')]",The system shall  enable system customer place order
1324,system shall enable customer/client enter payment details.,system shall enable customer/client enter payment details.,0,Online Service,Web development,69,69,58,58,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('customer/client', 'NN'), ('enter', 'JJ'), ('payment', 'NN'), ('details', 'NNS'), ('.', '.')]",The system shall enable enter system customer/client payment
1325,system shall enable customer order numbr product time.,system shall enable customer order numbr product time.,0,Online Service,Web development,82,82,54,54,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('customer', 'NN'), ('order', 'NN'), ('numbr', 'JJ'), ('product', 'NN'), ('time', 'NN'), ('.', '.')]",The system shall enable numbr system customer order product time
1326,system shall enable customer order bulk quantity,system shall enable customer order bulk quantity,0,Online Service,Web development,61,60,48,48,"[('system', 'NN'), ('shall', 'MD'), ('enable', 'VB'), ('customer', 'NN'), ('order', 'NN'), ('bulk', 'NN'), ('quantity', 'NN')]",The system shall enable  system customer order bulk quantity
1327,system generate invoice (automation).,system shall generate invoice (automation).,0,Online Service,Web development,54,56,37,43,"[('system', 'NN'), ('generate', 'JJ'), ('invoice', 'NN'), ('(', '('), ('automation', 'NN'), (')', ')'), ('.', '.')]",The system shall  generate system invoice automation
1328,system allow customer view order invoices.,system shall allow customer view order invoices.,0,Online Service,Web development,58,59,42,48,"[('system', 'NN'), ('allow', 'JJ'), ('customer', 'NN'), ('view', 'NN'), ('order', 'NN'), ('invoices', 'NNS'), ('.', '.')]",The system shall  allow system customer view order
